の, 助詞,連体化,*,*,*,*,の,ノ,ノ
安定, 名詞,形容動詞語幹,*,*,*,*,安定,アンテイ,アンテイ
箇所, 名詞,接尾,助数詞,*,*,*,箇所,カショ,カショ
達し, 動詞,自立,*,*,サ変・−スル,未然形,達する,タッシ,タッシ
重体, 名詞,一般,*,*,*,*,重体,ジュウタイ,ジュータイ
Bell, 名詞,一般,*,*,*,*,*
有志連合, 名詞,固有名詞,一般,*,*,*,有志連合,ユウシレンゴウ,ユーシレンゴー
両, 接頭詞,名詞接続,*,*,*,*,両,リョウ,リョー
パンダ, 名詞,一般,*,*,*,*,パンダ,パンダ,パンダ
話し合っ, 動詞,自立,*,*,五段・ワ行促音便,連用タ接続,話し合う,ハナシアッ,ハナシアッ
有名, 名詞,形容動詞語幹,*,*,*,*,有名,ユウメイ,ユーメイ
極め, 動詞,自立,*,*,一段,連用形,極める,キワメ,キワメ
流れ, 名詞,一般,*,*,*,*,流れ,ナガレ,ナガレ
中止, 名詞,サ変接続,*,*,*,*,中止,チュウシ,チューシ
消え, 動詞,自立,*,*,一段,未然形,消える,キエ,キエ
複雑, 名詞,形容動詞語幹,*,*,*,*,複雑,フクザツ,フクザツ
こうした, 連体詞,*,*,*,*,*,こうした,コウシタ,コーシタ
入り乱れ, 動詞,自立,*,*,一段,連用形,入り乱れる,イリミダレ,イリミダレ
ＩＭＦ, 名詞,固有名詞,組織,*,*,*,IMF,アイエムエフ,アイエムエフ
挙げ, 動詞,自立,*,*,一段,連用形,挙げる,アゲ,アゲ
登頂, 名詞,サ変接続,*,*,*,*,登頂,トウチョウ,トーチョー
にあたり, 助詞,格助詞,連語,*,*,*,にあたり,ニアタリ,ニアタリ
渡航, 名詞,サ変接続,*,*,*,*,渡航,トコウ,トコー
地下鉄駅, 名詞,固有名詞,一般,*,*,*,地下鉄駅,チカテツエキ,チカテツエキ
5人, 名詞,固有名詞,一般,*,*,*,5人,ゴニン,ゴニン
可能, 名詞,形容動詞語幹,*,*,*,*,可能,カノウ,カノー
成長, 名詞,サ変接続,*,*,*,*,成長,セイチョウ,セイチョー
就任前, 名詞,一般,*,*,*,*,就任前,シュウニンマエ,シューニンマエ
開催, 名詞,サ変接続,*,*,*,*,開催,カイサイ,カイサイ
今月, 名詞,副詞可能,*,*,*,*,今月,コンゲツ,コンゲツ
４月, 名詞,副詞可能,*,*,*,*,4月,シガツ,シガツ
行う, 動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
放送, 名詞,サ変接続,*,*,*,*,放送,ホウソウ,ホーソー
滞在, 名詞,サ変接続,*,*,*,*,滞在,タイザイ,タイザイ
メリーランド州, 名詞,固有名詞,一般,*,*,*,メリーランド州,メリーランドシュウ,メリーランドシュー
指導者, 名詞,固有名詞,一般,*,*,*,指導者,シドウシャ,シドーシャ
戦闘員, 名詞,固有名詞,一般,*,*,*,戦闘員,セントウイン,セントーイン
既存, 名詞,サ変接続,*,*,*,*,既存,キソン,キソン
傍ら, 名詞,一般,*,*,*,*,傍ら,カタワラ,カタワラ
キムジョンウン, 名詞,固有名詞,一般,*,*,*,キム・ジョンウン,キムジョンウン,キムジョンウン
フロリダ州, 名詞,固有名詞,一般,*,*,*,フロリダ州,フロリダシュウ,フロリダシュー
はず, 名詞,非自立,一般,*,*,*,はず,ハズ,ハズ
移民, 名詞,サ変接続,*,*,*,*,移民,イミン,イミン
スポンサー, 名詞,一般,*,*,*,*,スポンサー,スポンサー,スポンサー
煙, 名詞,一般,*,*,*,*,煙,ケムリ,ケムリ
タイムズ, 名詞,固有名詞,組織,*,*,*,タイムズ,タイムズ,タイムズ
大幅, 名詞,形容動詞語幹,*,*,*,*,大幅,オオハバ,オーハバ
戦, 名詞,接尾,一般,*,*,*,戦,セン,セン
情勢, 名詞,一般,*,*,*,*,情勢,ジョウセイ,ジョーセイ
ポンド, 名詞,接尾,助数詞,*,*,*,ポンド,ポンド,ポンド
感じ, 動詞,自立,*,*,一段,連用形,感じる,カンジ,カンジ
プラダ, 名詞,固有名詞,組織,*,*,*,プラダ,プラダ,プラダ
目撃者, 名詞,固有名詞,一般,*,*,*,目撃者,モクゲキシャ,モクゲキシャ
引っ越し, 動詞,自立,*,*,五段・サ行,連用形,引っ越す,ヒッコシ,ヒッコシ
法律, 名詞,一般,*,*,*,*,法律,ホウリツ,ホーリツ
当たり, 名詞,一般,*,*,*,*,当たり,アタリ,アタリ
申し入れ, 動詞,自立,*,*,一段,連用形,申し入れる,モウシイレ,モーシイレ
発砲, 名詞,サ変接続,*,*,*,*,発砲,ハッポウ,ハッポー
連射, 名詞,サ変接続,*,*,*,*,連射,レンシャ,レンシャ
応急, 名詞,一般,*,*,*,*,応急,オウキュウ,オーキュー
保護者, 名詞,固有名詞,一般,*,*,*,保護者,ホゴシャ,ホゴシャ
陥っ, 動詞,自立,*,*,五段・ラ行,連用タ接続,陥る,オチイッ,オチイッ
サンドリア, 名詞,固有名詞,人名,一般,*,*,サンドリア,サンドリア,サンドリア
撃ち, 動詞,自立,*,*,五段・タ行,連用形,撃つ,ウチ,ウチ
とどまっ, 動詞,自立,*,*,五段・ラ行,連用タ接続,とどまる,トドマッ,トドマッ
あらわ, 名詞,形容動詞語幹,*,*,*,*,あらわ,アラワ,アラワ
10階, 名詞,固有名詞,一般,*,*,*,10階,ジュッカイ,ジュッカイ
LIVE, 名詞,固有名詞,一般,*,*,*,LIVE,ライブ,ライブ
BBC, 名詞,固有名詞,一般,*,*,*,BBC,ビリオネアボーイズクラブ,ビリオネアボーイズクラブ
最後, 名詞,一般,*,*,*,*,最後,サイゴ,サイゴ
墓地, 名詞,一般,*,*,*,*,墓地,ボチ,ボチ
救急車, 名詞,一般,*,*,*,*,救急車,キュウキュウシャ,キュウキュウシャ
ティモシー, 名詞,固有名詞,人名,一般,*,*,ティモシー,ティモシー,ティモシー
8人, 名詞,固有名詞,一般,*,*,*,8人,ハチニン,ハチニン
社, 名詞,接尾,助数詞,*,*,*,社,シャ,シャ
過激派組織, 名詞,固有名詞,一般,*,*,*,過激派組織,カゲキハソシキ,カゲキハソシキ
使用, 名詞,サ変接続,*,*,*,*,使用,シヨウ,シヨー
罰金, 名詞,一般,*,*,*,*,罰金,バッキン,バッキン
連立, 名詞,サ変接続,*,*,*,*,連立,レンリツ,レンリツ
検査, 名詞,サ変接続,*,*,*,*,検査,ケンサ,ケンサ
変わる, 動詞,自立,*,*,五段・ラ行,基本形,変わる,カワル,カワル
掲載, 名詞,サ変接続,*,*,*,*,掲載,ケイサイ,ケイサイ
温暖化対策, 名詞,固有名詞,一般,*,*,*,温暖化対策,オンダンカタイサク,オンダンカタイサク
避け, 動詞,自立,*,*,一段,未然形,避ける,サケ,サケ
ローマ, 名詞,固有名詞,地域,一般,*,*,ローマ,ローマ,ローマ
策, 名詞,接尾,一般,*,*,*,策,サク,サク
経路, 名詞,一般,*,*,*,*,経路,ケイロ,ケイロ
来週, 名詞,副詞可能,*,*,*,*,来週,ライシュウ,ライシュー
カスタニエール, 名詞,固有名詞,一般,*,*,*,Castaner,カスタニエール,カスタニエール
国際, 名詞,一般,*,*,*,*,国際,コクサイ,コクサイ
研究, 名詞,サ変接続,*,*,*,*,研究,ケンキュウ,ケンキュー
成果, 名詞,一般,*,*,*,*,成果,セイカ,セイカ
プロバスケットボール, 名詞,固有名詞,一般,*,*,*,プロバスケットボール,プロバスケットボール,プロバスケットボール
公営住宅, 名詞,固有名詞,一般,*,*,*,公営住宅,コウエイジュウタク,コーエイジュータク
解明, 名詞,サ変接続,*,*,*,*,解明,カイメイ,カイメイ
指名, 名詞,サ変接続,*,*,*,*,指名,シメイ,シメイ
船, 名詞,一般,*,*,*,*,船,フネ,フネ
話す, 動詞,自立,*,*,五段・サ行,基本形,話す,ハナス,ハナス
Tolls, 名詞,一般,*,*,*,*,*
3月, 名詞,固有名詞,一般,*,*,*,3月,サンガツ,サンガツ
ショッピングセンター, 名詞,固有名詞,地域,一般,*,*,ショッピングセンター,ショッピングセンター,ショッピングセンター
the, 名詞,一般,*,*,*,*,the,ザ,ザ
欧州委員会, 名詞,固有名詞,一般,*,*,*,欧州委員会,オウシュウイインカイ,オーシューイーンカイ
室, 名詞,接尾,助数詞,*,*,*,室,シツ,シツ
投げ, 動詞,自立,*,*,一段,連用形,投げる,ナゲ,ナゲ
とも, 助詞,副助詞,*,*,*,*,とも,トモ,トモ
, BOS/EOS,*,*,*,*,*,*,*,*
懸命, 名詞,形容動詞語幹,*,*,*,*,懸命,ケンメイ,ケンメイ
部屋, 名詞,一般,*,*,*,*,部屋,ヘヤ,ヘヤ
先進国, 名詞,固有名詞,一般,*,*,*,先進国,センシンコク,センシンコク
発揮, 名詞,サ変接続,*,*,*,*,発揮,ハッキ,ハッキ
バラク・オバマ, 名詞,固有名詞,人名,一般,*,*,バラク・オバマ,バラクオバマ,バラクオバマ
望ん, 動詞,自立,*,*,五段・マ行,連用タ接続,望む,ノゾン,ノゾン
診断, 名詞,サ変接続,*,*,*,*,診断,シンダン,シンダン
シンシナティ, 名詞,固有名詞,地域,一般,*,*,シンシナティ,シンシナティ,シンシナティ
同行, 名詞,サ変接続,*,*,*,*,同行,ドウコウ,ドーコー
学生, 名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ
誰がために鐘は鳴る, 名詞,固有名詞,一般,*,*,*,誰がために鐘は鳴る,タガタメニカネハナル,タガタメニカネワナル
行動, 名詞,サ変接続,*,*,*,*,行動,コウドウ,コードー
予定通り, 名詞,固有名詞,一般,*,*,*,予定通り,ヨテイドオリ,ヨテイドーリ
Fengxian, 名詞,固有名詞,組織,*,*,*,*
低下, 名詞,サ変接続,*,*,*,*,低下,テイカ,テイカ
巡っ, 動詞,自立,*,*,五段・ラ行,連用タ接続,巡る,メグッ,メグッ
2016年, 名詞,固有名詞,一般,*,*,*,2016年,ニセンジュウロクネン,ニセンジュウロクネン
インフォグラフィック, 名詞,固有名詞,一般,*,*,*,インフォグラフィック,インフォグラフィック,インフォグラフィック
合法, 名詞,形容動詞語幹,*,*,*,*,合法,ゴウホウ,ゴーホー
勝利, 名詞,サ変接続,*,*,*,*,勝利,ショウリ,ショーリ
コスプレ, 名詞,固有名詞,一般,*,*,*,コスプレ,コスプレ,コスプレ
最高経営責任者, 名詞,固有名詞,一般,*,*,*,最高経営責任者,サイコウケイエイセキニンシャ,サイコーケイエイセキニンシャ
開設, 名詞,サ変接続,*,*,*,*,開設,カイセツ,カイセツ
1月, 名詞,固有名詞,一般,*,*,*,1月,イチガツ,イチガツ
単独過半数, 名詞,固有名詞,一般,*,*,*,単独過半数,タンドクカハンスウ,タンドクカハンスー
会議, 名詞,サ変接続,*,*,*,*,会議,カイギ,カイギ
取り残さ, 動詞,自立,*,*,五段・サ行,未然形,取り残す,トリノコサ,トリノコサ
施工, 名詞,サ変接続,*,*,*,*,施工,シコウ,シコー
しか, 助詞,係助詞,*,*,*,*,しか,シカ,シカ
小林哲, 名詞,固有名詞,人名,一般,*,*,小林哲,コバヤシサトル,コバヤシサトル
タワー, 名詞,一般,*,*,*,*,タワー,タワー,タワー
ブリサ, 名詞,固有名詞,地域,一般,*,*,*
与える, 動詞,自立,*,*,一段,基本形,与える,アタエル,アタエル
歌詞, 名詞,一般,*,*,*,*,歌詞,カシ,カシ
憤り, 動詞,自立,*,*,五段・ラ行,連用形,憤る,イキドオリ,イキドーリ
名誉, 名詞,形容動詞語幹,*,*,*,*,名誉,メイヨ,メイヨ
ノーベル賞, 名詞,固有名詞,一般,*,*,*,ノーベル賞,ノーベルショウ,ノーベルショー
炎上, 名詞,サ変接続,*,*,*,*,炎上,エンジョウ,エンジョー
予算, 名詞,一般,*,*,*,*,予算,ヨサン,ヨサン
出演, 名詞,サ変接続,*,*,*,*,出演,シュツエン,シュツエン
メラニア, 名詞,固有名詞,一般,*,*,*,メラニア,メラニア,メラニア
親善, 名詞,一般,*,*,*,*,親善,シンゼン,シンゼン
T, 名詞,固有名詞,組織,*,*,*,*
ロゴ, 名詞,一般,*,*,*,*,ロゴ,ロゴ,ロゴ
もし, 副詞,一般,*,*,*,*,もし,モシ,モシ
どころ, 名詞,非自立,一般,*,*,*,どころ,ドコロ,ドコロ
無事, 名詞,形容動詞語幹,*,*,*,*,無事,ブジ,ブジ
関わっ, 動詞,自立,*,*,五段・ラ行,連用タ接続,関わる,カカワッ,カカワッ
控え, 動詞,自立,*,*,一段,連用形,控える,ヒカエ,ヒカエ
安全, 名詞,形容動詞語幹,*,*,*,*,安全,アンゼン,アンゼン
山本公一, 名詞,固有名詞,人名,一般,*,*,山本公一,ヤマモトコウイチ,ヤマモトコーイチ
最高, 名詞,一般,*,*,*,*,最高,サイコウ,サイコー
プログラム, 名詞,サ変接続,*,*,*,*,プログラム,プログラム,プログラム
289, 名詞,数,*,*,*,*,*
若者, 名詞,一般,*,*,*,*,若者,ワカモノ,ワカモノ
家庭内暴力, 名詞,固有名詞,一般,*,*,*,家庭内暴力,カテイナイボウリョク,カテイナイボーリョク
北海道, 名詞,固有名詞,地域,一般,*,*,北海道,ホッカイドウ,ホッカイドー
長年, 名詞,副詞可能,*,*,*,*,長年,ナガネン,ナガネン
よく, 副詞,一般,*,*,*,*,よく,ヨク,ヨク
防火, 名詞,一般,*,*,*,*,防火,ボウカ,ボーカ
講じる, 動詞,自立,*,*,一段,基本形,講じる,コウジル,コージル
案内, 名詞,サ変接続,*,*,*,*,案内,アンナイ,アンナイ
不適切, 名詞,形容動詞語幹,*,*,*,*,不適切,フテキセツ,フテキセツ
小説, 名詞,一般,*,*,*,*,小説,ショウセツ,ショーセツ
思う, 動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモウ
昨年3月, 名詞,固有名詞,一般,*,*,*,昨年3月,サクネンサンガツ,サクネンサンガツ
排除, 名詞,サ変接続,*,*,*,*,排除,ハイジョ,ハイジョ
農地改革, 名詞,固有名詞,一般,*,*,*,農地改革,ノウチカイカク,ノーチカイカク
弱体化, 名詞,固有名詞,一般,*,*,*,弱体化,ジャクタイカ,ジャクタイカ
以内, 名詞,非自立,副詞可能,*,*,*,以内,イナイ,イナイ
陥り, 動詞,自立,*,*,五段・ラ行,連用形,陥る,オチイリ,オチイリ
同省, 名詞,一般,*,*,*,*,同省,ドウショウ,ドーショー
欧州統合, 名詞,固有名詞,組織,*,*,*,欧州統合,オウシュウトウゴウ,オーシュートーゴー
狙っ, 動詞,自立,*,*,五段・ワ行促音便,連用タ接続,狙う,ネラッ,ネラッ
Ｔシャツ, 名詞,一般,*,*,*,*,Tシャツ,ティーシャツ,ティーシャツ
スタッブ, 名詞,一般,*,*,*,*,*
参謀本部, 名詞,固有名詞,一般,*,*,*,参謀本部,サンボウホンブ,サンボーホンブ
こんすい, 名詞,サ変接続,*,*,*,*,こんすい,コンスイ,コンスイ
開園, 名詞,サ変接続,*,*,*,*,開園,カイエン,カイエン
両党, 名詞,固有名詞,一般,*,*,*,両党,リョウトウ,リョートー
先進, 名詞,一般,*,*,*,*,先進,センシン,センシン
特使, 名詞,一般,*,*,*,*,特使,トクシ,トクシ
その他, 名詞,代名詞,一般,*,*,*,その他,ソノタ,ソノタ
悪い, 形容詞,自立,*,*,形容詞・アウオ段,基本形,悪い,ワルイ,ワルイ
ジュード, 名詞,固有名詞,一般,*,*,*,Jude,ジュード,ジュード
中部, 名詞,一般,*,*,*,*,中部,チュウブ,チューブ
集まる, 動詞,自立,*,*,五段・ラ行,基本形,集まる,アツマル,アツマル
Shoots, 名詞,固有名詞,組織,*,*,*,*
臀部, 名詞,一般,*,*,*,*,臀部,デンブ,デンブ
旧市街, 名詞,固有名詞,一般,*,*,*,旧市街,キュウシガイ,キューシガイ
真, 名詞,一般,*,*,*,*,真,シン,シン
活発, 名詞,形容動詞語幹,*,*,*,*,活発,カッパツ,カッパツ
たとえ, 副詞,一般,*,*,*,*,たとえ,タトエ,タトエ
公職, 名詞,一般,*,*,*,*,公職,コウショク,コーショク
本当に, 副詞,一般,*,*,*,*,本当に,ホントウニ,ホントーニ
工事, 名詞,サ変接続,*,*,*,*,工事,コウジ,コージ
伴う, 動詞,自立,*,*,五段・ワ行促音便,基本形,伴う,トモナウ,トモナウ
習近平, 名詞,固有名詞,人名,一般,*,*,習近平,シュウキンペイ,シュウキンペイ
ルペン, 名詞,固有名詞,一般,*,*,*,ルペン,ルペン,ルペン
Grenfell, 名詞,固有名詞,組織,*,*,*,*
─, 記号,一般,*,*,*,*,─,─,─
最終, 名詞,一般,*,*,*,*,最終,サイシュウ,サイシュー
限定, 名詞,サ変接続,*,*,*,*,限定,ゲンテイ,ゲンテイ
ヒル, 名詞,一般,*,*,*,*,ヒル,ヒル,ヒル
医師, 名詞,一般,*,*,*,*,医師,イシ,イシ
人生, 名詞,一般,*,*,*,*,人生,ジンセイ,ジンセイ
握手, 名詞,サ変接続,*,*,*,*,握手,アクシュ,アクシュ
作品, 名詞,一般,*,*,*,*,作品,サクヒン,サクヒン
含め, 動詞,自立,*,*,一段,連用形,含める,フクメ,フクメ
壊し, 動詞,自立,*,*,五段・サ行,連用形,壊す,コワシ,コワシ
父, 名詞,一般,*,*,*,*,父,チチ,チチ
記さ, 動詞,自立,*,*,五段・サ行,未然形,記す,シルサ,シルサ
委, 名詞,接尾,一般,*,*,*,委,イ,イ
エリック・トランプ, 名詞,固有名詞,人名,一般,*,*,エリック・トランプ,エリックトランプ,エリックトランプ
犬, 名詞,接尾,一般,*,*,*,犬,ケン,ケン
名前, 名詞,一般,*,*,*,*,名前,ナマエ,ナマエ
Eats, 名詞,固有名詞,組織,*,*,*,*
強まり, 動詞,自立,*,*,五段・ラ行,連用形,強まる,ツヨマリ,ツヨマリ
冒頭, 名詞,一般,*,*,*,*,冒頭,ボウトウ,ボートー
フレイク, 名詞,固有名詞,一般,*,*,*,フレイク,フレイク,フレイク
イスラム教徒, 名詞,固有名詞,一般,*,*,*,イスラム教徒,イスラムキョウト,イスラムキョート
ゲイ, 名詞,一般,*,*,*,*,ゲイ,ゲイ,ゲイ
どんな, 連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ
分かり, 動詞,自立,*,*,五段・ラ行,連用形,分かる,ワカリ,ワカリ
失望, 名詞,サ変接続,*,*,*,*,失望,シツボウ,シツボー
元首相, 名詞,固有名詞,一般,*,*,*,元首相,モトシュショウ,モトシュショー
立役者, 名詞,一般,*,*,*,*,立役者,タテヤクシャ,タテヤクシャ
現時点, 名詞,一般,*,*,*,*,現時点,ゲンジテン,ゲンジテン
脚本家, 名詞,固有名詞,人名,一般,*,*,脚本家,キャクホンカ,キャクホンカ
回復, 名詞,サ変接続,*,*,*,*,回復,カイフク,カイフク
大丈夫, 名詞,形容動詞語幹,*,*,*,*,大丈夫,ダイジョウブ,ダイジョーブ
文在寅, 名詞,固有名詞,人名,一般,*,*,文在寅,ムンジェイン,ムンジェイン
視聴率, 名詞,固有名詞,一般,*,*,*,視聴率,シチョウリツ,シチョーリツ
素性, 名詞,一般,*,*,*,*,素性,スジョウ,スジョー
大敗, 名詞,サ変接続,*,*,*,*,大敗,タイハイ,タイハイ
承知, 名詞,サ変接続,*,*,*,*,承知,ショウチ,ショーチ
強まる, 動詞,自立,*,*,五段・ラ行,基本形,強まる,ツヨマル,ツヨマル
言う, 動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ
不備, 名詞,一般,*,*,*,*,不備,フビ,フビ
アフリカ, 名詞,固有名詞,地域,一般,*,*,アフリカ,アフリカ,アフリカ
午前7時, 名詞,固有名詞,一般,*,*,*,午前7時,ゴゼンナナジ,ゴゼンナナジ
パブリック, 名詞,一般,*,*,*,*,パブリック,パブリック,パブリック
両親, 名詞,一般,*,*,*,*,両親,リョウシン,リョーシン
6人, 名詞,固有名詞,一般,*,*,*,6人,ロクニン,ロクニン
８月, 名詞,副詞可能,*,*,*,*,8月,ハチガツ,ハチガツ
誰, 名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ
生まれ, 名詞,一般,*,*,*,*,生まれ,ウマレ,ウマレ
選択, 名詞,サ変接続,*,*,*,*,選択,センタク,センタク
入り込む, 動詞,自立,*,*,五段・マ行,基本形,入り込む,ハイリコム,ハイリコム
戦う, 動詞,自立,*,*,五段・ワ行促音便,基本形,戦う,タタカウ,タタカウ
とか, 助詞,並立助詞,*,*,*,*,とか,トカ,トカ
商品, 名詞,一般,*,*,*,*,商品,ショウヒン,ショーヒン
」～, 記号,一般,*,*,*,*,*
財政危機, 名詞,固有名詞,一般,*,*,*,財政危機,ザイセイキキ,ザイセイキキ
林, 名詞,固有名詞,人名,姓,*,*,林,ハヤシ,ハヤシ
ニューヨーク・タイムズ, 名詞,固有名詞,組織,*,*,*,ニューヨーク・タイムズ,ニューヨークタイムズ,ニューヨークタイムズ
性, 名詞,接尾,一般,*,*,*,性,セイ,セイ
選ば, 動詞,自立,*,*,五段・バ行,未然形,選ぶ,エラバ,エラバ
着手, 名詞,サ変接続,*,*,*,*,着手,チャクシュ,チャクシュ
都市, 名詞,一般,*,*,*,*,都市,トシ,トシ
66, 名詞,数,*,*,*,*,*
特別委員会, 名詞,固有名詞,一般,*,*,*,特別委員会,トクベツイインカイ,トクベツイーンカイ
もちろん, 副詞,一般,*,*,*,*,もちろん,モチロン,モチロン
効果, 名詞,一般,*,*,*,*,効果,コウカ,コーカ
終結, 名詞,サ変接続,*,*,*,*,終結,シュウケツ,シューケツ
感謝, 名詞,サ変接続,*,*,*,*,感謝,カンシャ,カンシャ
組織, 名詞,サ変接続,*,*,*,*,組織,ソシキ,ソシキ
抵抗, 名詞,サ変接続,*,*,*,*,抵抗,テイコウ,テイコー
読み上げ, 動詞,自立,*,*,一段,連用形,読み上げる,ヨミアゲ,ヨミアゲ
位置, 名詞,サ変接続,*,*,*,*,位置,イチ,イチ
延世大学, 名詞,固有名詞,一般,*,*,*,延世大学,ヨンセダイガク,ヨンセダイガク
誌, 名詞,接尾,一般,*,*,*,誌,シ,シ
集会, 名詞,サ変接続,*,*,*,*,集会,シュウカイ,シューカイ
まとまら, 動詞,自立,*,*,五段・ラ行,未然形,まとまる,マトマラ,マトマラ
オバマ政権, 名詞,固有名詞,一般,*,*,*,オバマ政権,オバマセイケン,オバマセイケン
環境, 名詞,一般,*,*,*,*,環境,カンキョウ,カンキョー
大統領府, 名詞,固有名詞,一般,*,*,*,大統領府,ダイトウリョウフ,ダイトーリョーフ
撤退, 名詞,サ変接続,*,*,*,*,撤退,テッタイ,テッタイ
菓子, 名詞,一般,*,*,*,*,菓子,カシ,カシ
外交, 名詞,一般,*,*,*,*,外交,ガイコウ,ガイコー
コーツ, 名詞,固有名詞,人名,一般,*,*,COATZ,コーツ,コーツ
増派, 名詞,サ変接続,*,*,*,*,増派,ゾウハ,ゾーハ
増加, 名詞,サ変接続,*,*,*,*,増加,ゾウカ,ゾーカ
ほぼ, 副詞,一般,*,*,*,*,ほぼ,ホボ,ホボ
ＰＡ, 名詞,一般,*,*,*,*,PA,ピーエイ,ピーエイ
一つの中国, 名詞,固有名詞,一般,*,*,*,一つの中国,ヒトツノチュウゴク,ヒトツノチューゴク
Moby, 名詞,固有名詞,一般,*,*,*,Moby,モービー,モービー
犯人, 名詞,一般,*,*,*,*,犯人,ハンニン,ハンニン
チェルシー, 名詞,固有名詞,一般,*,*,*,CHERRSEE,チェルシー,チェルシー
すぎる, 動詞,非自立,*,*,一段,基本形,すぎる,スギル,スギル
といった, 助詞,格助詞,連語,*,*,*,といった,トイッタ,トイッタ
同島, 名詞,一般,*,*,*,*,同島,ドウトウ,ドートー
戻っ, 動詞,自立,*,*,五段・ラ行,連用タ接続,戻る,モドッ,モドッ
先月, 名詞,副詞可能,*,*,*,*,先月,センゲツ,センゲツ
小児, 名詞,一般,*,*,*,*,小児,ショウニ,ショーニ
発覚, 名詞,サ変接続,*,*,*,*,発覚,ハッカク,ハッカク
ダバオ, 名詞,固有名詞,地域,一般,*,*,ダバオ,ダバオ,ダバオ
Do, 名詞,一般,*,*,*,*,Do,ドゥー,ドゥー
奪還作戦, 名詞,固有名詞,一般,*,*,*,奪還作戦,ダッカンサクセン,ダッカンサクセン
締結, 名詞,サ変接続,*,*,*,*,締結,テイケツ,テイケツ
考案, 名詞,サ変接続,*,*,*,*,考案,コウアン,コーアン
投票率, 名詞,固有名詞,一般,*,*,*,投票率,トウヒョウリツ,トーヒョーリツ
涙, 名詞,一般,*,*,*,*,涙,ナミダ,ナミダ
協賛, 名詞,サ変接続,*,*,*,*,協賛,キョウサン,キョーサン
生存者, 名詞,固有名詞,一般,*,*,*,生存者,セイゾンシャ,セイゾンシャ
主義者, 名詞,固有名詞,一般,*,*,*,主義者,シュギシャ,シュギシャ
水, 名詞,一般,*,*,*,*,水,ミズ,ミズ
通商, 名詞,サ変接続,*,*,*,*,通商,ツウショウ,ツーショー
無言, 名詞,一般,*,*,*,*,無言,ムゴン,ムゴン
銃撃事件, 名詞,固有名詞,一般,*,*,*,銃撃事件,ジュウゲキジケン,ジューゲキジケン
門, 名詞,一般,*,*,*,*,門,モン,モン
五輪, 名詞,一般,*,*,*,*,五輪,ゴリン,ゴリン
デモ参加者, 名詞,固有名詞,一般,*,*,*,デモ参加者,デモサンカシャ,デモサンカシャ
偉大, 名詞,形容動詞語幹,*,*,*,*,偉大,イダイ,イダイ
コスタリカ, 名詞,固有名詞,地域,国,*,*,コスタリカ,コスタリカ,コスタリカ
期間, 名詞,一般,*,*,*,*,期間,キカン,キカン
掃討作戦, 名詞,固有名詞,一般,*,*,*,掃討作戦,ソウトウサクセン,ソートーサクセン
隠し, 動詞,自立,*,*,五段・サ行,連用形,隠す,カクシ,カクシ
ペース, 名詞,一般,*,*,*,*,ペース,ペース,ペース
survived, 名詞,一般,*,*,*,*,*
9, 名詞,数,*,*,*,*,*
早く, 形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,早い,ハヤク,ハヤク
パナマ運河, 名詞,固有名詞,一般,*,*,*,パナマ運河,パナマウンガ,パナマウンガ
自宅, 名詞,一般,*,*,*,*,自宅,ジタク,ジタク
破損, 名詞,サ変接続,*,*,*,*,破損,ハソン,ハソン
一気に, 副詞,一般,*,*,*,*,一気に,イッキニ,イッキニ
小選挙区制, 名詞,固有名詞,一般,*,*,*,小選挙区制,ショウセンキョクセイ,ショーセンキョクセイ
ボンベ, 名詞,一般,*,*,*,*,ボンベ,ボンベ,ボンベ
of, 名詞,一般,*,*,*,*,*
違う, 動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ
コリンズ, 名詞,固有名詞,人名,姓,*,*,コリンズ,コリンズ,コリンズ
二階俊博, 名詞,固有名詞,一般,*,*,*,二階俊博,ニカイトシヒロ,ニカイトシヒロ
仏メディア, 名詞,固有名詞,一般,*,*,*,仏メディア,フツメディア,フツメディア
野党, 名詞,一般,*,*,*,*,野党,ヤトウ,ヤトー
早期, 名詞,一般,*,*,*,*,早期,ソウキ,ソーキ
Captain, 名詞,固有名詞,組織,*,*,*,*
ジャーナリスト, 名詞,一般,*,*,*,*,ジャーナリスト,ジャーナリスト,ジャーナリスト
わけ, 名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ
上部, 名詞,一般,*,*,*,*,上部,ジョウブ,ジョーブ
心, 名詞,一般,*,*,*,*,心,ココロ,ココロ
名所, 名詞,一般,*,*,*,*,名所,メイショ,メイショ
話題, 名詞,一般,*,*,*,*,話題,ワダイ,ワダイ
おく, 動詞,非自立,*,*,五段・カ行イ音便,基本形,おく,オク,オク
関係筋, 名詞,固有名詞,一般,*,*,*,関係筋,カンケイスジ,カンケイスジ
あるいは, 接続詞,*,*,*,*,*,あるいは,アルイハ,アルイワ
共同, 名詞,サ変接続,*,*,*,*,共同,キョウドウ,キョードー
