no,title,mean
25,ウチ充、ウチ族,【意味】ウチ充（うちじゅう）とは、家での生活を充実させている人のこと。ウチ族とも言う。『家が一番リラックスできる』『ネットを使えば外に出なくても楽しめる』といった理由でウチ充主婦が増加傾向にある。テレビやネットショッピング、ツイッターやLINE、SNS、ネットニュース閲覧、動画視聴などを家で楽しむ人が多い。リア充から派生した言葉。対義語：ソト充（外での生活の充実）【由来】家（ウチ）での生活が充実ウチ充草食系男子の考案者である深澤真紀さんが考えた言葉【使用例】「若い人にもウチ充がけっこういるよね。」
26,ウマー、ウマウマ,"ウマーとは、ネットで使われる若者言葉です。【意味】うまい、という【意味】。主に料理が美味しいときに使用。半角表記が一般的。""ウマウマ""と言うこともある。AAは、(゜д゜)ｳﾏｰまた、オイシイ（何か得をした）時にも使う。【由来】ウマイウマッウマー【使用例】「このドーナツｳﾏｰ(゜д゜)」「今日買い物したらポイント5倍デーでｳﾏｰ。」"
27,裏山、裏山死刑,裏山とは、ネットで使う若者言葉です。【意味】うらやましい、という【意味】。羨ましいが不道徳な行為に対しては「裏山死刑」と言うことも。【由来】うらやましいの『うらやま』を漢字の『裏山』にした当て字。うらやましいうらやま裏山【使用例】A「あの学校の先生、奥さんいるのに教え子と付き合ってたらしいよ。」B「その先生、裏山死刑。」
28,駅弁、宮廷、離散,駅弁、宮廷、離散とは、ネットで使われる若者言葉です。【意味】特定の大学をもじったもの。駅弁地方の国立大学宮廷旧帝国大学（北海道大学、東北大学、東京大学、名古屋大学、大阪大学、京都大学、九州大学）離散東京大学の理科三類【由来】【駅弁】急行が止まり、駅弁のある地方の駅には、だいたい国立大学があることから。【使用例】「今の時代は就職に関して言えば、宮廷でも駅弁でもそんなに変わらないかもな。」
29,枝る,枝る（えだる）とは、ネット等で使われる若者言葉です。【流行した時期】2011年4月【意味】①ギリギリのところまで睡眠をとらず、寝る間を惜しんで働くこと。②上司に恵まれず、必要以上に仕事が増えること。【由来】2011年の3.11大震災から不眠不休で記者会見をする枝野官房長官の姿から生まれた言葉。ツイッターやネット掲示板が発祥とされている。【使用例】「もう締め切り近いから枝るしかない。」
30,オキニ（おきに）,【意味】オキニ（おきに）とは、お気に入りの略。自分の好きなファッションやアーティスト、お店など好きなもの全般に使う。【由来】お気に入りオキニ【使用例】「ここってケイコのオキニの店じゃない？」
31,オケボ,オケボとは、学生などの若い人が使う言葉です。【意味】カラオケボックスのこと。【由来】カラオケボックスの中を抜いてオケボ。両端をとってしまう略語は珍しい。【使用例】「二次会はオケボでいいよね？」
32,おじカワ,"おじカワは、ファッションを表す若者言葉です。【流行時期】2011年【意味】おじさんが着ているアイテムを身につけるファッションのこと。ハンチング帽やチノパン、サスペンダー、中折れ帽など。寅さんや蛭子能収さんのようなファッションを指す。cf.おばカワ【由来】おじさんファッションをカワいくしたファッションおじカワ【使用例】「おじカワって逆に新しいよね～。」関連商品カーボン　ハンチングBIGWATCH　ベージュＧＨＮ-02【大きいサイズ】【帽子】【キャップ】【ニット帽】posted with カエレバAmazon楽天市場YahooショッピングYahooオークション7netベルメゾンセシール(ディッキーズ)DICKIES レディス ワークパンツ ローライズ UL874L (W30, アーミーチノ)posted with カエレバAmazon楽天市場YahooショッピングYahooオークション7netベルメゾンセシール"
33,おっさん、おっつー,"【意味】おっさんとは、お疲れ様、という【意味】。別れ際によく使う。""おっつー""とも言う。【由来】おつかれさん、の略おっさん【使用例】「じゃあね～、おっさん。」"
34,オフゲー（オフゲ）,オフゲーとは、ネットで使われる若者言葉です。【意味】オフラインでするゲーム（ファミコンやプレイステーションなど）。インターネット回線を使わない、昔からあるゲームのこと。反意語：ネトゲ【由来】『オフ』ライン『ゲー』ムの略オフゲー【使用例】「まったりするにはオフゲーが一番だよね。」
35,おはあり、おつあり、おかあり、おやあり,おはありとは、主にツイッターで使われる若者言葉です。【意味】おはよう、と挨拶してくれたフォロワーに対するお礼の言葉。ついったらーのマナーとして【おはようと挨拶されたらお礼を言おう】というマナーが定着している。しかしその一方で「本当に必要なのか？」「毎日するのは面倒くさい」と煩わしく思う人もけっこういる。他にも・おつありお疲れ様（と言ってくれて）ありがとう・おかありお帰り（と言ってくれて）ありがとう・おやありおやすみ（と言ってくれて）ありがとうなどがある。【由来】おはようと言ってくれてありがとうおはあり【使用例】A「おはよう！今日もがんばろー！」B「おはありです。」
36,おはぎゃあ,"【意味】おはぎゃあとは、朝起きてダウ平均株価や円相場が下がっていたときの様子。ダウや円相場の下落はFXをしている人にはもちろん、日経平均株価にも影響するので投資家にとっては痛手となることが多い。『おはぎゃあああ』『おはぎゃああああああ！』など、下落幅が大きいほど""あ""を多くつける傾向がある。主に、2ちゃんねるの株式板で使われる言葉。【由来】おはよう　+　ぎゃあ（下落による悲痛の叫び）→　おはぎゃあ【使用例】「おはぎゃあああ、下げ過ぎワロタ」「今日のおはぎゃあで死ぬほど損した…orz」"
37,思い出補正,思い出補正とは、ネットで使われる若者言葉です。【意味】思い出・過去の記憶というのは、必要以上に美化されるものである、ということ。子供の頃の体験は、初めてのことが多く、楽しい思い出として残りやすい。しかし、今同じ事をするとそうでもなかったりする。そんな時に使われる言葉。ネットでは主に、ゲームやアニメの評価に対して使われる。懐古厨批判のときにもよく見かける。派生語として『○○補正』という使われ方もする。ex：主人公補正（主人公であるという理由で受けられる恩恵）【由来】思い出　+　ちょっと良くなる（補正）思い出補正【使用例】A「小学校の夏休みとかめちゃくちゃ楽しかったよな。」B「思い出補正かかってるからな。」「クロノトリガーは、思い出補正抜きにしても面白いよな。」
38,赤文字系、青文字系,【意味】赤文字系とは、キレイ系の男性受けするファッションの総称。雑誌『JJ』『ViVi』『Ray』『CanCam』を指す。モデルはトリンドル玲奈、藤井リナなど。青文字系とは、原宿系（個性的）の女性受けするファッションの総称。雑誌『non･no』『MORE』『Zipper』『sweet』等を指す。モデルはきゃりーぱみゅぱみゅ、鈴木えみなど。【由来】赤文字系雑誌のタイトルの文字色が赤であることから青文字系赤文字系の雑誌と差別化をはかるため【使用例】「ケイコは赤文字系よりも青文字系のほうが似合いそうだよね。」
39,アク禁,アク禁とは、ネットで使われる若者言葉です。【意味】アクセス禁止の略。ウェブサイトやプロバイダー等が、特定ユーザー（特定IPアドレス、特定プロバイダー）からのアクセスを禁止すること。アク禁処分は、主に、嫌がらせや営業目的で、サイトや掲示板などに何度も無【意味】な文章、罵詈雑言などの書き込みを行なったユーザーに対してなされる。【由来】『アク』セス『禁』止アク禁【使用例】「ｍｉｘｉでアク禁食らっちゃったよ。」
40,アケコン,アケコンとは、ネットで使われる若者言葉です。【意味】アーケードスタイルコントローラーの略。左にレバー、右にボタンがあるコントローラーで、家庭でもゲームセンターと同じような感覚でゲームができる。主にストリートファイターIIなどの格闘ゲームで使われる。【由来】アーケードスタイルコントローラアケコン【使用例】「そろそろ俺もアケコンデビューしようかな。」
41,アシキタス,アシキタスとは、交通に関する言葉です。【意味】交通網が発達していて、いつでも利用できること。近くに駅がある、バスの本数が多い、タクシーがすぐつかまる、など。『ユビキタス（情報ネットワークが発達してどこでもアクセスできる）』に掛けた言葉。【由来】交通手段を表す『アシ』　+　ユビキタスアシキタス【使用例】「住まい探しはアシキタスが大事だよな。」
42,後でしょ！,【意味】後でしょ！とは、東進ハイスクール講師林修先生の「いつやるか？今でしょ！」の【意味】を逆にした言葉。物事を先送りするときに使う。【由来】「いつやるの？今でしょ」の逆言葉【使用例】「テレビいつ見るの？後でしょ！！」
43,アピる,【意味】アピるとは、アピールするの略。主に、好きな異性に自分の存在や好意を伝える【意味】で使う。【由来】アピールするアピる【使用例】「めっちゃアピったのに全然相手にされないよ～。」
44,ありえんてぃ,"ありえんてぃは【2010年ケータイ流行語大賞】トップテンにノミネートされた若者言葉。【意味】ありえない、信じられない、の意。【由来】ありえない　+　独特の接尾辞""～てぃ""ありえんてぃ【使用例】「つけ爪はがれちゃった！マジありえんてぃ。」"
45,ｲｲﾊﾅｼﾀﾞﾅｰ,【意味】ｲｲﾊﾅｼﾀﾞﾅｰとは、いい話、感動する話を聞いたときに使うツッコミ。2ちゃんねるやニコニコ動画で使うことが多い。( ；∀；)ｲｲﾊﾅｼﾀﾞﾅｰというAAもある。単純にいい話で感動した、という【意味】だが、半角カタカナ表記の冷ややかな雰囲気から「そんなバカな」とやや否定の【意味】を込めて使うこともある。【由来】いい話しだな～ｲｲﾊﾅｼﾀﾞﾅｰ【使用例】A「子供が自分のお小遣いで俺にプレゼントくれたんだよ。」B「( ；∀；)ｲｲﾊﾅｼﾀﾞﾅｰ」
46,イカホモ（イカニモ）,イカホモとは、男性の見た目に関する若者言葉です。【意味】いかにもホモの略。がっちり体型で短髪、髭を生やしているゲイっぽい見た目の男性のこと。【由来】いかにもホモイカホモ【使用例】「オネェ系の人はイカホモっぽい人好きだよね。」
47,痛車、痛板,痛車とは、車を表す若者言葉です。【意味】アニメキャラのステッカーを貼付したり、ペインティングした車のこと。フェラーリやランボルギーニなどの高級車がカスタマイズされることが多く、こだわりが感じられる。類義語:痛板（アニメキャラでカスタマイズされたスノーボード）【由来】イタリア車と痛々しい車を掛けて→痛車【使用例】「痛車オーナーのこだわりはすごいよな。」
48,痛ネイル,【意味】痛ネイル（いたねいる）とは、アニメや漫画のキャラクター、有名人の似顔絵などを描いたネイルのこと。痛車の派生語と思われるが、イタい【意味】はあまり含まれない。【由来】痛いネイル痛ネイル【使用例】「痛ネイルって意外と男子に好評だよね。」
49,１楽２活３黙,１楽２活３黙（いちらくにかつさんもく）とは、ネットで使われる若者言葉です。【意味】コミュニケーションの特徴を表す言葉。１人のときが楽しく、２人ならなんとか活動的に会話できるが、３人以上になると黙ってしまうこと、または人。【由来】１人は楽しく、２人なら活動的に会話できるが、３人以上になると黙る、の略。【使用例】「今の時代は、１楽２活３黙の人ってけっこういるよね。」
50,いつメン（イツメン）,【意味】いつメンとは、いつものメンバーの略。よく一緒に遊ぶ仲の良い友達のこと。プリクラ写真の文字入れでよく使われる。関連語：初メン【由来】いつものメンバーいつメン【使用例】「いつメンの中ではサヤカが一番頭いいよね。」
51,今北産業,今北産業とは、ネット（主に２ちゃんねる）で使われる若者言葉です。【意味】今来た（今北）私に今までの流れを三行（産業）で説明してください、という【意味】。【由来】２ちゃんねるのVIP板（ニュース速報）。これまでの書き込みを読まずに内容把握するために使われる。【使用例】（ツイッターや掲示板などで、自分が来る前に話しが盛り上がっていたときに）「今北産業」
52,インパ,【意味】インパとは、遊園地やテーマパークに行くこと。主にディズニーランド・シーに行くこと。【由来】インパーク（in park）の略インパ【使用例】「次の休みインパしない？」
53,鬱イート,鬱イートとは、ツイッターで使われる若者言葉です。【意味】鬱っぽい、ネガティブな内容のつぶやきのこと。今抱えている悩みや自己否定、存在価値を否定するものが多い。鬱イートは、日付が変わる頃に多くなる傾向がある。鬱イートばかりしていると、フォロワーにうんざりされて、フォローを切られる原因になる。そのため、フォロワーのTL上に鬱イートを表示させないサービスもある（鬱イートを食べる卵）【由来】鬱　+　ツイート鬱イート【使用例】「深夜になると鬱イートしたくなるんだよね。」
54,ウトメ,ウトメとは、ネットで使われる若者言葉です。【意味】舅（結婚相手の父）と姑（結婚相手の母）のこと。義理の両親。関連語:トメ→姑、コトメ→小姑（結婚相手の女姉妹）、ウト→舅【由来】舅（シュウト）+　姑（シュウトメ）→　ウトメ【使用例】「結婚するということは、ウトメとの付き合いにもなる。」
55,うｐ,"【意味】うｐ（うぷ）とは、アップロードの略。主に、ネットに動画をアップロードする【意味】で使われる。また、アップロードした人のことを『うｐ主』と呼ぶ。読み方は『うぷぬし』『うぷしゅ』『うっぷぬし』など定まっていないが、『うぷぬし』と読む人がやや多い模様。【由来】upの""u""をキーボードで日本語入力して""う""うｐ【使用例】「まさかこれが見れるとは！うｐ乙！」"
56,ウーロン茶,ウーロン茶とは、女子高生を中心に使われる若者言葉です。【意味】茶髪で長髪のウザったい人（主に男性）。【由来】ウザイ、ロン毛、茶髪の頭文字から。【使用例】「その人がウーロン茶かどうかは一目でわかるよね。」
57,eighter（エイター）,"【意味】eighterとは、関ジャニ∞ファンのこと。eighterあるあるとしては『曲がジャニーズっぽいと不安になる』『DVDは舞台裏やメイキングのほうが楽しみ』など。関連語：アラシック【由来】関ジャニ∞のメンバー渋谷すばるが、Johnny’s webで使ったのがきっかけ関ジャニ∞の""エイト""　+　人を表す接尾辞""er""eighter【使用例】「今年からeighterデビューしました。」関連商品KANJANI∞LIVE TOUR!! 8EST〜みんなの想いはどうなんだい?僕らの想いは無限大!!〜(DVD初回限定盤)posted with カエレバ関ジャニ∞ インペリアルレコード 2013-03-13    Amazon楽天市場Yahooショッピングヤフオク!価格.com"
58,エコチュー,エコチューとは、人を表す若者言葉です。【意味】エコ中心的の略。自分の快適さよりも、環境に配慮した行動をする人のこと。【由来】エコ中心的エコチュー【使用例】「エアコンがないなんてエコチューだな。」
59,えなりってる,えなりってるとは、女子高生が使う若者言葉です。【意味】上着のシャツをズボンのなかに入れること、または入れている人。【由来】俳優のえなりかずきさんにそういうイメージがあることから。とはいえ、えなりさんは毎回シャツをズボンに入れているわけではありません。おそらく『えなりさんはゴルフが得意ゴルフウエアのマナーとしてシャツを入れるえなりさんはシャツを入れているイメージ』になったと思われます。【使用例】「えなりったほうがいいファッションもあるんだよね～。」
60,お祈りメール、お祈りされる,【意味】お祈りメールとは、不採用通知メールのこと。就活生が使う言葉。ここから派生して、不採用になることを『お祈りされる』と言うこともある。【由来】就職活動の不採用通知メールでは、文末に「～様の今後のご活躍をお祈り申し上げます。」といった一文が添えられることから。【使用例】「迷惑メールよりもお祈りメールのほうが多いんだが。」「ここんとこずっとお祈りされてるよ。」
61,お会計して～,お会計して～とは、もう少しで流行りそうなオネェ言葉です。【意味】「なんとかして！」「何言ってるの！」など、【どんだけ～】のような【意味】。【由来】バナナマン日村さんのコントキャラクター『ヒムコ』がよく使っている言葉。【使用例】A「そういえば最近太ったんじゃない？」B「ちょっと何それ～。コイツお会計して～！」
62,億り人,【意味】億り人（おくりびと）とは、株やFXなどの投資で1億円以上稼いだ人のこと。【由来】映画『おくりびと』をもじって億り人【使用例】「アベノミクスで億り人になった人多そうだね。」
63,おごとー,おごとーとは、タレントのIKKOさんがよく使う言葉です。【意味】おおごと、大変だ、すごい、という【意味】。福岡の方言。IKKOさんは福岡出身。【由来】おおごとおぉごとおごと。福岡の方言から。【使用例】A「さっき渋谷でIKKOさん見ちゃった。」B「おごとー!!!!」
64,教えろください,【意味】教えろくださいとは、教えて下さい、という【意味】。この言葉がよく使われる2ちゃんねる等の掲示板では、命令形でのやり取りが多いが、人にものを頼むときの表現として文末だけ丁寧になったと思われる。【由来】教えろ　+　下さい教えろください【使用例】「便利なフリーソフト教えろください」
65,お疲れーしょん,お疲れーしょんとは、若者言葉です。【意味】お疲れ様。「お疲れ」+英語の「～tion」で名詞化した形。【由来】ナインティナインのオールナイトニッポンで生まれた言葉。【使用例】「昨日から寝てなくて、マジお疲れーしょんだわ。」
66,男の娘,男の娘とは、ネットで使う若者言葉です。【読み方】おとこのこ【意味】男性なのに女性に見えるルックスのキャラ、または人。ネットでは主にアニメキャラを指すが、女性にしか見えない（レベルの高い）女装をしている男性にも使う。via:https://twitter.com/siki_tou/status/185972837725646848/photo/1【由来】男の子の『子』を『娘』にした当て字【使用例】「もう男の娘でもいいかと思ってる。」
67,オナシャス,【意味】オナシャスとは、お願いします、という【意味】。希望や嘆願を書き、文末に付け加えて使う。【由来】真夏の夜の淫夢というホモビデオがあり、この中で「免許証返してください。オナシャス！」という台詞があった。「お願いします」と言っているのが、追い詰められていた状況で呂律が回らず「オナシャス」と聞こえたことから。【使用例】「このゲームの裏ワザ教えて下さい。オナシャス！」
68,お前ら,お前らとは、ネットで使われる若者言葉です。【意味】あなた方という【意味】だが、2ちゃんねる等では『オタクなあなたたち』という【意味】で使われる。2ちゃんねるをやっている自分以外の人のこと。「2ちゃんねるなんかやってるような非リア充なお前ら」という、ややバカにする【意味】も含まれる。「おまいら」「もまえら」と表記することも。関連語：ねらー【由来】お前らおまえらもまえら【使用例】「今日クリスマスだけど、お前らは当然一人だよな。」
69,オラオラ系,オラオラ系（悪羅悪羅系）とは、主に若い女性が使う言葉です。【意味】①性格的に自分から引っ張っていく強引な男性のこと。⇔草食系男子②黒とシルバーアクセサリーを基調とした、不良っぽいファッションの男性。悪羅悪羅系という当て字は、主に②のファッションの【意味】で使われます。【由来】強引な人がよく「オラオラァ」と言っているイメージがあることから。【使用例】「最近、オラオラ系が好きな女子多いよね。」
70,オラにゃん系,オラにゃん系とは、若い女性が使う若者言葉です。【意味】みんなの前では威張っているけど、恋人と二人っきりになると甘えてくる男性のこと。≒ツンデレ　cf.オラオラ系【由来】オラ（オラオラと言わんばかりの強気な態度）＋　にゃん（猫のように甘える）【使用例】「オラにゃん系男子って、けっこうもてるらしいよ。」
71,俺の嫁,俺の嫁は、ネットで使われる若者言葉です。【意味】自分のお気に入りのアニメキャラやアイドルのこと。≒大好き、大ファン主に男性が、理想とする女性（2次元含む）に対して使う。【由来】既婚男性が使う【俺の嫁】が転じて。【使用例】「長門は俺の嫁。」「ちなみに唯は俺の嫁。」
72,オワタ＼(^o^)／,オワタとは、ネットでよく使われる若者言葉です。【意味】終わった…、という【意味】。物事が悲観的な状況になったときに使用。2ちゃんねるのスレッドタイトルなどで使われることが多い。アスキーアートは　＼(^o^)／　で、これ単体で表記することも。『もうお手上げ』を表現。【由来】終わった終わたオワタ【使用例】【人生＼(^o^)／ｵﾜﾀ】株で100万スったった
73,温活,温活（おんかつ）とは、主に女性が使う言葉です。【意味】血のめぐりを良くし、体温を上げるための活動のこと。主に女性の冷え性対策として行われる。メジャーな温活としては、半身浴、腹巻、湯たんぽ、足湯、などがある。類似語：婚活、恋活、朝活【由来】温める活動の略温活【使用例】「冬は温活しないとヤバいよね。」「温活したら、なんだか顔色もよくなったみたい。」関連商品Ｃｕｂｅａｄｓ　ビーズ式足温器エコたんぽ「ペチカ」　外側：黒色/内側（足底部）：茶色【発送までに２週間ほどかかります】posted with カエレバ 龍野コルク工業株式会社     Amazon楽天市場Yahooショッピング7netベルメゾンセシールアンダー腹巻オーガニックコットン Ｌサイズ 2枚組posted with カエレバ （有）青葉     Amazon楽天市場Yahooショッピング7netベルメゾンセシール
74,煽り耐性,【意味】煽り耐性（あおりたいせい）とは、煽られたときにどれだけ我慢できるか、という基準。ネットでは、煽る=感情を逆なでし怒らせる、という【意味】がある。主に2ちゃんねるで使われるが、ツイッターが一般化し、つぶやきで煽られることもある。【由来】煽りに対する耐性煽り耐性【使用例】「ある程度煽り耐性ないと、2ちゃんねるやツイッターは楽しめないかもね。」
