女子高生	JK
詳しく	kwsk
低燃費	TNP
共に	いっしょに
ずっと	ずーーっと
必ず	ぜったい
非難	＼＼\\٩(๑`^´๑)۶//／／ ムカ着火ファイアー
とか	とかとか
高官	のえらい人♡
操業	おしごと
中止	ダメ、絶対！
に関して	のコトだけど、
に関し	のコト、
のみ	ﾀﾞｹ
移民	移民ε=ε=(((((((( *･｀ω･)っ
哀しみ	かなピヨ
緊張	ピリピリ。メガピリ
悲しみ	ガチしょんぼり沈殿丸
銃殺	バーンしてグッバイ☆
処刑	See you
しんどい	しょんどい
火災	ファイア！( ｀◇´)ゞ＜炎炎炎
爆発	▒▓▇▅▂ﾊﾞｸ∩( ✧Д✧)∩ﾊﾂ▂▅▇▓▒
死亡	_(´ཀ`」 ∠)_
安価	チープ
幹部	ちょっとえらい人
叫ん	世界のちゅーしんで叫ん
実情	ﾘｱﾙ
招待状	インビテーション
銃	パキューン ( ･･)σ ‥…---- ･
受け入れ	ウェルカムし
哀悼	カナシミ(இдஇ; )
渡し	あーげ
絶望的	ʅ(´-ω-`)ʃ お手上げ
衝撃	ｽﾞｶﾞﾋﾞ━━Σ(llﾟ艸ﾟll)━━━ﾝ!!
事実	リアル
負傷	ケガ(˚ ˃̣̣̥ω˂̣̣̥ )
逮捕	タイホ
不可能	ﾏﾁﾞﾑﾘ
など	とかとか
当然	安定
閉鎖	くろーず
後ほど	のちほー
また後で	のちほー
後程	のちほー
のちほど	のちほー
あとで	のちほー
後で	のちほー
